PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P070,D12,NDSS,TRUE,When Coding Style Survives Compilation: De-anonymizing Programmers from Executable Binaries,"Assembly, Decompiled code",Programmer authorship classification,Static > Disassembly; Triage > Structural analysis; Triage > Binary profiling | Static > Control-flow analysis | Static > Decompilation | Static > Decompilation,Assembly; imports; strings | CFG | Pseudocode | AST,Code Representations; Binary Facts; String Literals | Graph Representations | Code Representations | Graph Representations,Code Representations; Binary Facts; String Literals -> Numeric descriptor | Graph representation -> Numeric descriptor | Code representation -> Numeric descriptor | Graph representation -> Numeric descriptor,Numeric descriptor | Numeric descriptor | Numeric descriptor | Numeric descriptor,N/A | N/A | N/A | N/A,Assembly instruction element replacement | N/A | N/A | N/A,N/A | N/A | N/A | N/A,N/A | N/A | N/A | N/A,N/A | N/A | N/A | N/A,Dense | Dense | Dense | Dense,Dense | Dense | Dense | Dense,count vector;  frequency vector | count vector;  frequency vector  |  count  vector; frequency vector| frequency vector; TF-IDF,N/A | N/A | N/A | N/A,N/A | N/A | N/A | N/A,Discriminative,Classification,Yes,N/A | N/A | N/A | N/A,Random Forest,Random Forest (500 trees) + Linear SVM,Classification,Multi-class classification,Programmer ID label,Accuracy
P072,D12,SANER,FALSE,BinMLM: Binary Authorship Verification with Flow-aware Mixture-of-Shared Language Model,Assembly,Programmer authorship classification,Static > Disassembly; Static > Inter-procedural control flow analysis,Flow-aware opcode n-gram sequences,Code representations,Code representation -> Sequence,Sequence,Element removal,Assembly instruction element removal,granularity-based,Opcode,Opcode-level: single opcode -> sliding-window of size n -> opcode n-gram units g_i (each g_i = a continuous sequence of n opcodes; Sec IV-B1); LM predicts subsequent n-gram unit at multiple-hop horizon for distinguishability,,Dense,Opcode n-gram unit indices -> learned dense embedding vectors e_t via embedding layer (Sec III-A Eq 2: 'we first transform each token u_i into a vector e_t through an embedding layer'); embedding dim 64 per Sec V-A 'The hidden dimension of the embedding layer and LSTM encoder is set to 64',Context-dependent,Mixture-of-shared LSTM (s=5 shared LSTMs + author-specific gates),Generative,Generative,Yes,,RNN language model,BinMLM mixture-of-shared RNN language model,Classification,Binary classification,Author verification decision,AUC-ROC; average precision
P073,D13,IEEE Access,FALSE,Fine-Grained Compiler Identification With Sequence-Oriented Neural Modeling,Assembly,Toolchain provenance classification,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element replacement,Assembly instruction element replacement,granularity-based,Instruction,"Instruction-level: each normalized assembly instruction = one token (one word in skip-gram vocabulary); basic block = sentence; function = sequence S_f = {ins_1, ins_2, ..., ins_n} (Sec III + IV-A)",,Dense,"Skip-gram Word2Vec dense embeddings over normalized-instruction tokens (Sec IV-A): vocabulary of all unique normalized instructions; each basic block treated as a sentence; window w=5, 100 epochs, LR=0.001, dim d=100 (Sec IV-A + V-B); embeddings stacked into raw feature matrix A = [e_1, e_2, ..., e_l]^T in R^(l x d) with l=500 (zero-padded/truncated, Sec V-B)",Context-independent,Word2Vec skip-gram (dim=100),Discriminative,Classification,Yes,,CNN + BiGRU with attention,NeuralCI (CNN/BiGRU with attention variants),Classification,Multi-class classification,Compiler family / version label,Accuracy; Precision; Recall; F1
P075,D13,CCS,TRUE,Improving Security Tasks Using Compiler Provenance Information Recovered At the Binary-Level,Assembly,Toolchain provenance classification,Static > Disassembly,Assembly,Code representations,Code representation -> Numeric descriptor,Numeric descriptor,N/A,Assembly instruction element replacement,N/A,N/A,N/A,Sparse,N/A,multi-hot,Context-independent,N/A,Discriminative,Classification,Yes,N/A,LightGBM,LightGBM (68 passes; multi-class for Rich header),Classification,Multi-label classification,Optimization-pass label vector,Recall; F-1 score
P077,D14,ICPR,FALSE,A Weak Coupling of Semi-Supervised Learning with Generative Adversarial Networks for Malware Classification,Byte,Malware family classification,Triage > Structural analysis,Raw binary bytes as 1D image,Code representations,Code representation -> Image,Image,Image size scaling,Image size scaling,N/A,N/A,N/A,,Dense | Dense,"1D image input (1 x 4096 x 1) to 1D-CNN: 5 convolutional layers (kernel size 1 throughout, channels 64 -> 128 -> 256 -> 512 -> 512, stride 1; max-pool kernel 16 stride 4 between conv layers; Sec III-B + Fig 5); flattened then 4 dense layers (1024 -> 2048 -> 256 -> 9) with dropout; ReLU activations + softmax 9-class output",Context-dependent,1D-CNN (VGG-inspired),Discriminative,Classification,Yes,,1D-CNN + SGAN,1D-CNN + weak coupling SGAN (semi-supervised),Classification,Multi-class classification,Malware family label,Accuracy; Error rate; per-family recall
P078,D17,Information Sciences,FALSE,AI-HydRa: Advanced hybrid approach using random forest and deep learning for malware classification,Byte,Malware detection,Triage > Structural analysis; Triage > Functional profiling | Dynamic > Runtime behavioral monitoring,PE features | Dynamic behavior features,Binary facts | Binary facts,Binary facts -> Numeric descriptor | Binary facts -> Numeric descriptor,Numeric descriptor | Numeric descriptor,N/A,N/A,N/A,N/A,N/A,,Dense | Dense,79-d numeric feature vector for static (5 feature classes per Table 1: Size 7 features + Count 5 features + Entropy 5 features + Entry point 1 + IAT 61 predefined API functions) | 432-d numeric feature vector for dynamic per Sec 4.3.9 (MLP_dynamic uses 432 features from API/Location/Mutex/Network/Registry classes per Table 2),N/A | N/A,N/A | N/A,Discriminative,Classification,Yes,,Random Forest + MLP ensemble,AI-HydRa (RF_static + RF_dynamic + MLP_static + MLP_dynamic + DMA voting),Detection,Sample-level detection,Malicious / benign label,Accuracy; Precision; TP rate; FP rate; ROC
P079,D14,DIMVA,FALSE,MtNet: A Multi-Task Neural Network for Dynamic Malware Classification,Fetched instruction,Malware family classification,Dynamic > Runtime behavioral monitoring | Dynamic > Memory forensics,API call event sequences | object strings,Text streams | Snapshots,Text streams -> Numeric descriptor | Snapshot -> Numeric descriptor,Numeric descriptor | Numeric descriptor,Feature selection | Feature selection,Numeric value scaling,N/A,N/A,N/A,,Sparse | Sparse,"3 sparse binary feature sets (Sec 3 Features): (1) null-terminated objects presence/absence (sec 3.2.1: 'majority of null-terminated objects are unpacked strings but a few correspond to individual code fragments'); (2) per-API-event+parameter combination indicators; (3) API trigram indicators (3 consecutive API events) for limited context. Feature selection via mutual information -> top 50,000 features (Sec 3 Feature Selection). Random projection (Sec 4.1 Eq 2): sparse matrix R 50000x4000 initialized with Pr(R_ij=1)=Pr(R_ij=-1)=1/(2*sqrt(d)), d=50000 -> 99.56% zero entries; reduces 50k-d sparse binary to 4000-d dense projected vector",Context-independent | Context-independent,Sparse-random-projection matrix R projects 50000-d sparse binary features to 4000-d dense vector input; not a learned embedding,Discriminative,Classification,Yes,,Multi-task DNN,MtNet multi-task DNN (4 hidden layers ReLU Dropout 2 output heads),Classification,Multi-class classification,Malware family label,Accuracy; TPR; FPR; ROC curve
P080,D14,CODASPY,FALSE,"Novel Feature Extraction, Selection and Fusion for Effective Malware Family Classification","Byte, Assembly",Malware family classification,Triage > Structural analysis; Triage > Functional profiling | Static > Disassembly; Triage > Structural analysis; Triage > Functional profiling,Byte stats | Operation section,Code representations | Code representations,Code representation -> Numeric descriptor | Code representation -> Numeric descriptor,Numeric descriptor | Numeric descriptor,Feature selection | Feature selection,Numeric value scaling | N/A,N/A,N/A,N/A,,Dense | Dense,"Hex-dump features (Sec 3.2.1): 1G byte 1-gram (256-d), ENT 4-statistic summary of 10000-byte sliding-window entropy distribution (mean/variance/quantiles/percentiles per Eq 1), IMG1 Haralick texture features (52-d), IMG2 Local Binary Pattern features (108-d), STR ASCII-string-length histogram (116-d), MD1 metadata 2-d (file size + first-bytes address hex->decimal) | Disassembled-file features (Sec 3.2.2): MD2 metadata 2-d, SYM 8 symbol frequencies, OPC 93 selected x86 mnemonic frequencies, REG 26 register-name frequencies, API 796 frequent API frequencies, SEC 25 PE-section line-counts/proportions (Table 2), DP 24 db/dw/dd-with-N-parameters proportions (Table 3), MISC 95 manually-chosen-keyword frequencies. 13 categories total; combination of all = 1804-d feature vector (Sec 4.3 Table 4-6); top combination C12 = 1696 features",N/A,N/A,Discriminative,Classification,Yes,,XGBoost + Bagging ensemble,XGBoost + Bagging (100 estimators),Classification,Multi-class classification,Malware family label,Accuracy; Logloss
P081,D17,S&P,TRUE,Transcending transcend: Revisiting malware classification in the presence of concept drift,Byte,Malware family classification,Triage > Structural analysis; Triage > Binary profiling,Header; sections; imports; exports; histogram; strings; entropy,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; String Literals; Numerical Statistics,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; String Literals; Numerical Statistics -> Numeric descriptor,Numeric descriptor,Feature value scaling,N/A,N/A,N/A,N/A,Dense,N/A,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,GBDT +  ICE conformal evaluator (p-value based),TRANSCENDENT framework (conformal evaluation) + Linear SVM,Clustering,Anomaly / drift detection via clustering,Conformal credibility/confidence; rejection flag,F1; Precision; Recall; Area Under Time (AUT); rejection rate
P082,D14,AAAI,TRUE,Classification of Malware by Using Structural Entropy on Convolutional Neural Networks,Byte,Malware family classification,Triage > Binary profiling,Entropy,Numerical Statistics,Numerical statistics -> Sequence,Sequence,N/A,N/A,Rule-based decomposition,Custom rule,N/A,Dense,N/A,time-series vectors,N/A,N/A,Discriminative,Classification,Yes,N/A,CNN + mlp classifeir,CNN on Haar Wavelet multiresolution entropy + Bagging,Classification,Multi-class classification,Malware family label,Accuracy; F1 score; Logloss
P083,D14,S&P,TRUE,From grim reality to practical solution: Malware classification in real-world noise,Byte,Malware family classification,Triage > Binary profiling; Triage > Structural analysis; Triage > Binary profiling; Triage > Structural analysis,entropy;  imports; strings; header,Numerical Statistics; Binary Facts; String Literals; Binary Facts,Numerical Statistics; Binary Facts; String Literals; Binary Facts -> Numeric descriptor,Numeric descriptor,Feature value scaling,N/A,N/A,N/A,N/A,Dense,N/A,count vector ,N/A,N/A,Discriminative,Classification,Yes,N/A,MLP with ReLU,MORSE (3-layer MLP + FixMatch + trust score re-weighting),Classification,Multi-class classification,Malware family label,Accuracy; Precision; Recall; F1
P084,D14,AAAI,TRUE,MalCL: Leveraging GAN-Based Generative Replay to Combat Catastrophic Forgetting in Malware Classification,Byte,Malware family classification,Triage > Structural analysis; Triage > Structural analysis; Triage > Structural analysis; Triage > Structural analysis; Triage > Binary profiling,Header; sections; imports; exports; entropy,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics -> Numeric descriptor,Numeric descriptor,Feature value scaling,N/A,N/A,N/A,N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Classification,Yes,N/A,Generator: CNN; Classifier: CNN + FC,MalCL (Conv1D classifier + GAN generative replay + FML),Classification,Multi-class classification,Malware family label,Accuracy
P085,D14,IJCNN,FALSE,Empowering convolutional networks for malware classification and analysis,"Byte, Assembly",Malware family classification,Triage > Structural analysis | Triage > Structural analysis | Static > Disassembly,PE Metadata | PE features | Assembly Opcode Features,Binary facts | Binary facts | Code representations,Binary facts -> Numeric descriptor | Binary facts -> Numeric descriptor | Code representations -> Sequence,Numeric descriptor | Numeric descriptor | Sequence,N/A | N/A | N/A,N/A | N/A | N/A,N/A | N/A | granularity-based,N/A | N/A | Opcode,N/A | N/A | Opcode-level,,Dense | Dense | Sparse,"27-d numeric feature vector: 3 PE Header metadata (compile timestamp + offset addresses + size of image resources) + per-code-section 4 features (entropy + virtual address + virtual size + size on disk; 6 sections) = 27 numerical features total (Sec III-B PE Metadata) | 488-d one-hot encoded vector over unique (DLL, function) pairs per Sec III-B PE Import Features: 'we encode the presence of unique functions along with their associated DLLS using the one-hot encoding approach... we counted 488 unique functions from the PE files in our collection' | N x 118 one-hot encoded matrix: each opcode in the sequence represented as a 118-d one-hot row vector (118 = total unique opcodes in vocabulary); sequence ORDER preserved for CNN convolution per Sec III-B Assembly Opcode Features: 'we convert the generated sequence of opcodes into a matrix representation, where each row of the matrix is a vector representation of one opcode in the sequence'",Context-independent | Context-independent | Context-dependent,N/A | N/A | Hybrid NN,Discriminative,Classification,Yes,,Feedforward neural network + CNN,Hybrid NN (Feedforward branch + CNN branch),Classification,Multi-class classification,Malware family label,Precision; Recall; F1-score
P086,D14,ICDMAI,FALSE,Malware class recognition using image processing techniques,Byte,Malware family classification,Triage > Structural analysis,Malware grayscale images,Code representations,Code representation -> Image,Image,Image size scaling,Image size scaling,N/A,N/A,N/A,,Dense,"Discrete Wavelet Transform with db4 wavelet, 3-level decomposition (Sec IV + V): apply DWT to normalized 64x64 grayscale image -> extract effective energy coefficients in 4 directions -> apply mean of feature vector -> 56-d feature vector per individual malware sample (Sec V Experimental Results); PCA used for feature selection per Sec IV Step 4",N/A,N/A,Discriminative,Classification,Yes,,KNN + SVM,KNN + SVM on 56-dim texture feature vector,Classification,Multi-class classification,Malware family label,Accuracy; TPR; FPR; Error rate
P087,D14,USENIX Security,TRUE,Transcend: Detecting Concept Drift in Malware Classification Models,Assembly,Malware family classification,Static > Disassembly,Assembly,Code Representations,Code representation -> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,Dense,N/A,count vector,N/A,N/A,Discriminative,Classification,Yes,N/A,XGBoost classifier +  ICE conformal evaluator (p-value based),Transcend framework (conformal evaluation NCM) + Linear SVM + XGBoost,Clustering,Anomaly / drift detection via clustering,p-value conformal score; rejection flag,Precision; Recall; F1-score
P088,D14,Journal of Computer Virology and Hacking Techniques,FALSE,Using Convolutional Neural Networks for Classification of Malware represented as Images,Byte,Malware family classification,Triage > Structural analysis,Malware grayscale images,Code representations,Code representation -> Image,Image,Image size scaling; Pixel value scaling,Image size scaling,N/A,N/A,N/A,,Dense,"256x256 grayscale image (1-channel pixel intensity matrix), input dimension w=256, h=256, d=1 per Sec 5.1.",Context-dependent,Hierarchical CNN (3 Conv layers + FC + Dropout),Discriminative,Classification,Yes,,Hierarchical CNN,Hierarchical CNN (3 Conv 50/70/70 filters; MaxPool + LRN),Classification,Multi-class classification,Malware family label,Precision; Recall; F1 score; macro-averaged F1; Accuracy
P089,D14,JISA,FALSE,Malware classification for the cloud via semi-supervised transfer learning,"Byte, Assembly",Malware family classification,Triage > Structural analysis | Static > Disassembly,Byte sequences | ASM features,Code representations | Numerical statistics,Code representation -> Sequence | Numerical statistics -> Numeric descriptor,Sequence | Numeric descriptor,Byte value scaling | Element removal,N/A | N/A,granularity-based |N/A,Byte | N/A,Byte | N/A,,Dense | Dense,1024-d 1D decimal malhash byte-feature vector per Algorithm 3 + Fig 4 | 5-class asm feature vector concatenated per Sec 4.2.1: basic features (file size/line count/entropy) + section-line count (top 10 sections per Sec 5.4) + opcode count (top 100 opcodes per file) + opcode n-gram (1/2/3-gram counts) + stdcall count (top 10 system calls),Context-dependent | Context-independent,CNN-LSTM (Embedding->Conv1D->MaxPool->LSTM); XGBoost + LSTM transfer,Discriminative,Classification,Yes,,CNN-LSTM + XGBoost,SSTL (CNN-LSTM detection + XGBoost prediction + LSTM transfer),Classification,Multi-class classification,Malware family label,Accuracy; Precision; Recall; F1
P090,D14,Computer Networks,FALSE,IMCFN: Image-based malware classification using fine-tuned convolutional neural network architecture,Byte,Malware family classification,Triage > Structural analysis,Malware color images,Code representations,Code representation -> Image,Image,Image size scaling; Pixel value scaling,"Image size scaling, Numeric value scaling",N/A,N/A,N/A,,Dense,"224x224x3 RGB color image (3-channel pixel intensity matrix) per Sec 4.3; rescaled to [0,1] via /255 normalization per Table 3.",Context-dependent,IMCFN (fine-tuned VGG16; Block1-4 frozen),Discriminative,Classification,Yes,,VGG16 CNN,IMCFN VGG16 (Block1-4 frozen + fine-tuned Block5+FC),Classification,Multi-class classification,Malware family label,Accuracy; Precision; Recall; F1-score; FPR
P091,D14,Journal of Parallel and Distributed Computing,FALSE,MalFCS: An effective malware classification framework with automated feature extraction based on deep convolutional neural networks,Byte,Malware family classification,Triage > Functional profiling,Binary entropy graph,Numerical statistics,Numerical statistics -> Image,Image,Image size scaling,Image size scaling,N/A,N/A,N/A,,Dense,300x300x1 grayscale entropy graph image (1-channel pixel intensity matrix from matplotlib plot of Shannon entropy stream) per Sec 3.1 + Algorithm 1.,Context-dependent,13-layer deep CNN (VGG-style),Discriminative,Classification,Yes,,CNN + Linear SVM,13-layer CNN feature extractor + linear SVM,Classification,Multi-class classification,Malware family label,Accuracy; Macro-F1; Kappa; Logloss; Precision; Recall
P093,D15,CCS,TRUE,Binary Control-Flow Trimming,"Fetched instruction, Assembly",Debloating target detection,Static > Disassembly; Static > Control-flow analysis | Dynamic > Execution tracing,Assembly; CFG | Instruction-acess trace; memory-access trace,Code representations; Graph representations | Text streams; Text streams,Code representations; Graph representations; Text streams; Text streams -> Graph,Graph ,Structural transformation,N/A,N/A,N/A,N/A | N/A,Sparse,Sparse,Edge attribute IDs,N/A,N/A,Discriminative,Detection,Yes,N/A,decision tree forest + IRM ( in-lined reference monitor) enforcement,Decision tree forest (CCFG; one per branch site; depth k=4),Detection,Location-level detection,Removable control-flow region,False positive ratio; false negative ratio; accuracy; reachable executable code bytes reduction
P094,D15,ESEC/FSE,TRUE,Input-Driven Dynamic Program Debloating for Code-Reuse Attack Mitigation,Byte,Debloating target detection,Security Testing > Fuzzing | Security Testing > Fuzzing,mutated input | mutated input,Test set | Test set,Test sets -> Image | Test sets -> Sequence,Image | Sequence,Image size scaling; pixel value scaling | N/A,N/A | N/A,N/A | Rule-based decomposition,N/A | Custom rule,Byte | Character,Dense | Dense,Dense | N/A,grayscale tensor | N/A,Context-dependent | Context-independent,CNN | TextCNN,Discriminative,Detection,Yes,CNN || TextCNN,CNN + FC || TextCNN + FC,Picup dual-path CNN (LeNet-5 + TextCNN with CBAM),Detection,Location-level detection,Per-API debloating decision,Prediction accuracy; FNR; code size reduction
P095,D16,NDSS,TRUE,VulHawk: Cross-architecture Vulnerability Detection with Entropy-based Binary Code Search,Byte,Known vulnerability (bug) detection/clustering,Static > IR lifting | Static > control flow analysis | Triage > Binary profiling,IR | CFG | entropy,Code representations | Graph representations | Numerical statistics,Code representation -> Sequence | Graph representation -> Graph | Numerical statistics -> Numeric descriptor,Sequence | Graph | Numeric descriptor,Abstraction by replacement ; Filtering by removal  | N/A | feature value scaling,Assembly instruction element replacement,Syntactic units | N/A | N/A,Element | N/A | N/A,"Instruction-level: opcode + 3 root-operand split per microcode triplet (left, right, dest) | N/A | N/A",Sparse | Dense | Dense,N/A| Dense | N/A,N/A | adjacency matrix  | N/A,Context-dependent | Context-dependent | Context-independent,BERT-based | GCN | ResNet,Discriminative,Detection,Yes,((BERT-based -> GCN) -> ResNet),((BERT-based -> GCN) -> ResNet) + MLP classifier,VulHawk (RoBERTa + 16-layer GCN + ResNet + calibration network),Detection,Ranking / Top-K retrieval,Vulnerable function candidates ranked by similarity,AUC; Recall@K; Precision; Recall
P096,D16,CCS,TRUE,Scalable Graph-based Bug Search for Firmware Images,Assembly,Known vulnerability (bug) detection/clustering,Satic > Disassembly | Static > control flow analysis,Assembly | CFG,Code representations | Graph representations,Code representations; Graph representations -> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,Dense,Dense,VLAD,N/A,N/A,Discriminative,Detection,Yes,N/A,Spectral clustering,Genius (genetic algorithm + spectral clustering + VLAD encoding + LSH),Detection,Ranking / Top-K retrieval,Vulnerable function candidates from codebook search,Recall rate; false positive rate
P097,D16,NDSS,TRUE,Discovre: Efficient cross-architecture identification of bugs in binary code.,Assembly,Known vulnerability (bug) detection/clustering,Static > Disassembly;  Static > Call-site analysis; Static > Stack-frame analysis; Static > Control-flow analysis,Assembly; ICFG; Stack-frame layout,Code representations; Graph representations; Binary facts,Code representations; Graph representations; Binary facts -> Numeric descriptor,Numeric descriptor ,Feature value scaling,Numeric value scaling | N/A,N/A ,N/A,N/A | N/A,Dense,Dense | Dense,count vectors,N/A,N/A,Discriminative,Detection,Yes,N/A,KNN,discovRE (k-NN on PCA features + mCS structural similarity + GA weight learning),Detection,Ranking / Top-K retrieval,k-NN candidate functions,Percent correct; rank
P098,D16,ESEC/FSE,TRUE,Vulseeker-pro: Enhanced semantic learning based binary vulnerability seeker with emulation,"Assembly, Fetched instruction",Known vulnerability (bug) detection/clustering,Static > Disassembly; Static > Control-flow analysis,Assembly; CFG,Code representations; Graph representations,Code representations; Graph representations -> Graph,Graph,Node attribute mapping; Edge attribute mapping ,N/A | Assembly instruction element replacement,N/A ,N/A ,N/A | Element,Dense,Dense | N/A,Node feature mapping; adjacency matrix,Context-dependent,Structure2vec,Discriminative,Detection,Yes,Structure2vec,Structure2vec with SiameseNN (Gemini) + cosine top-M retrieval -> emulation semantic-signature Jaccard reordering,VulSeeker-Pro (Gemini DNN + PyVEX emulation + Jaccard re-ranking),Detection,Ranking / Top-K retrieval,Re-ranked vulnerable function candidates,Average rank; Top-1 candidates found; Top-5 candidates found
P099,D16,TrustCom/BigDataSE,FALSE,VMPBL: Identifying Vulnerable Functions Based on Machine Learning Combining Patched Information and Binary Comparison Technique by LCS,Assembly,Known vulnerability (bug) detection/clustering,Static > IR lifting; Static > Intra-procedural control flow analysis | Static > Disassembly; Static > Intra-procedural control flow analysis,IR K-Traces | Function-level digital feature vector,Code representations | Numerical statistics,Code representation -> Sequence | Numerical statistics -> Numeric descriptor,Sequence | Numeric descriptor,Element replacement | Element replacement,Assembly instruction element replacement | N/A,granularity-based | N/A,Instruction | N/A,Instruction | N/A,,Sparse | Dense,"K-Trace = string sequence of IR-instruction tokens (after alignment) compared via LCS - similarity per Containment Eq 1 SimTrace(A,B)=l/min(len(A),len(B)) or Ration Eq 2 SimTrace(A,B)=l*2/(len(A)+len(B)) | 13-d digital feature vector reweighted by ReliefF weights from Table I (e.g., transInsNum=3.1233^-0.4, arithInsNum=2.2453^-0.4, edgeNum=2.5295^-0.4); SimHash hash sum = product of feature*weight",Context-independent | Context-independent,N/A | N/A,Discriminative,Detection,Yes,,KNN,VMPBL (LCS-based comparison + KNN K=20),Detection,Similarity scoring,Vulnerable function pair similarity,Accuracy; false positive rate
P100,D16,AsiaCCS,FALSE,BugGraph: Differentiating Source-Binary Code Similarity with Graph Triplet-Loss Network,Assembly,Known vulnerability (bug) detection/clustering,Static > Disassembly; Static > Intra-procedural control flow analysis,ACFG,Graph representations,Graph representations -> Graph,Graph,N/A,Numeric value scaling,N/A,N/A,N/A,,Dense,"ACFG with 8-d per-node feature vector (6 statistical block features + 2 graph features per Fig 7a) -> GAT updates per Eq 3 -> 512-d graph embedding e_j = W2 * Σ h_v^l (Sec 5.2 + Sec 6: intermediate_dim=512, final_dim=512, l=5 iterations, batch=10)",Context-dependent,GAT (l=5 iterations 512-dim),Discriminative,Detection,Yes,,BugGraph / GAT,BugGraph GTN (GAT + triplet loss; 512-dim embedding),Detection,Similarity scoring,Source-binary similarity score,TPR; FPR; TNR; FNR; Accuracy; AUC; Top-K TPR
P101,D19,USENIX Security,TRUE,UVSCAN: Detecting Third-Party Component Usage Violations in IoT Firmware,Assembly,Unknown vulnerability (bug) discovery/clustering,Static Analysis > Disassembly; Static Analysis > Call-site analysis,Assembly; ICFG,Code representations; Graph representations,Code representations; Graph representations -> Graph,Graph,Structural transformation,N/A | N/A,N/A,N/A,Subword (RoBERTa Subword (BPE) tokenizer) | N/A,Dense,N/A | N/A,Edge feature mapping,N/A,N/A,Rule-based reasoning,Deterministic reasoning,No,N/A,Datalog rule-driven checker,all-MiniLM-L6-v2 BERT + angr RDA engine (UVSCAN),Detection,Matching,Relevant TPC usage label per function,Precision; Recall; F1
P102,D16,IEEE Access,FALSE,Binary Code Vulnerability Detection Based on Multi-Level Feature Fusion,Assembly,Known vulnerability (bug) detection/clustering,Static > Disassembly | Static > Disassembly,Assembly instruction sequences,Code representations | Code representations,Code representation -> Sequence | Code representation -> Sequence,Sequence | Sequence,Element replacement | Element replacement,Assembly instruction element replacement,granularity-based | granularity-based,Element | Instruction,Element | Instruction,,Dense | Dense,"Word-level: ELMo dynamic word vector E_i = R_i = {x_k^LM, h_{k,1}^LM, h_{k,2}^LM} (Eq 3); final ELMo_oi = γ*(λ_0*h_{i,0}^LM + λ_1*h_{i,1}^LM + λ_2*h_{i,2}^LM) per Eq 9 with learnable γ, λ_0, λ_1, λ_2. | Instruction-level: random embedding matrix X = [x_1, ..., x_n]^T with dimension (Batch_size, n, 117) where each x_i is a 117-d random-initialized vector per instruction per Sec III.B.",Context-dependent | Context-independent,"ELMo (2-layer biLSTM; pre-trained language model with forward+backward LM losses) producing word-level dynamic context vectors | Random embedding matrix (117-d per instruction, learned end-to-end with task)",Discriminative,Detection,Yes,,Dual-path BiGRU + fully connected head,Dual-path BiGRU (word-level + instruction-level) + weighted fusion + FC + softmax,Detection,Location-level detection,Per-function vulnerability label,Precision; Recall; F1; Accuracy
P103,D16,ICLR,TRUE,Maximal Divergence Sequential Autoencoder for Binary Software Vulnerability Detection,Assembly,Known vulnerability (bug) detection/clustering,Static Analysis > Disassembly,Assembly,Code representations,Code representation -> Sequence,Sequence,Filtering by removal ,Assembly instruction element removal,Syntactic units,Instruction,Instruction-field-level (opcode + instruction-information),Sparse,Sparse; Dense,one-hot,Context-dependent,RNN-VAE,Discriminative,Detection,Yes,RNN-VAE,RNN-VAE/MDSAE + mlp classifer,MDSAE (LSTM encoder + LSTM decoder + two class-specific Gaussian priors + linear classifier; latent dim 4096),Detection,Sample-level detection,Vulnerable/safe sample label,Accuracy; Recall; Precision; F1; AUC
P104,D19,NDSS,TRUE,Faster and Better: Detecting Vulnerabilities in Linux-based IoT Firmware with Optimized Reaching Definition Analysis,IR,Unknown vulnerability (bug) discovery/clustering,Triage > Binary profiling | Static Analysis > Disassembly;  Static Analysis > Call-site analysis; Static Analysis > IR lifting; Static Analysis > Data-flow analysis; Static Analysis > Static taint analysis,Strings | Assembly; ICFG; IR; def-use chains; DDG; tainted values,String Literals | Code representations; Graph representations; Code representation; Graph representaiton; Graph representaiton; Binary facts,String Literals -> Sequence | Code representations; Graph representations; Code representation; Graph representaiton; Graph representaiton; Binary facts -> Graph,Sequence | Graph,N/A | Structural transformation,N/A | N/A,Data-driven segmentation | N/A,Subword (Pretrained-LLM) | N/A,N/A | Inherited LLM tokenizer,Sparse | N/A,N/A | N/A,N/A | N/A,Context-dependent | N/A,BERT-based | N/A,Discriminative,Detection,Yes,BERT-based | N/A,BERT-based + cosine similarity + fuzzy matching -> source candidate identification -> enhanced CFG + RDA/def-use graph reverse lookup + constraint checks,all-MiniLM-L6-v2 BERT + angr RDA engine (HermeScan),Detection,Similarity scoring,Suspicious function similarity score,TP; FP; TPR; FPR; number of vulnerabilities
